id,MRM,CRM,VAR,VEV,HistoricalVEV,SRI,InvestmentAmount,InvestmentCurrency,EquivalentAmount,ScalingFactor,Pricing_Method,CarriedInterest_IHP1,CarriedInterest_IHP2,CarriedInterest_RHP,EntryCostAcquired_IHP1,EntryCostAcquired_IHP2,EntryCostAcquired_RHP,Entry_IHP1,Entry_IHP2,Entry_RHP,ExitCostAt1Year_IHP1,ExitCostAt1Year_IHP2,ExitCostAt1Year_RHP,ExitCostAtHalfRHP_IHP1,ExitCostAtHalfRHP_IHP2,ExitCostAtHalfRHP_RHP,ExitCostAtRHP_IHP1,ExitCostAtRHP_IHP2,ExitCostAtRHP_RHP,Exit_IHP1,Exit_IHP2,Exit_RHP,Other_IHP1,Other_IHP2,Other_RHP,PerformanceFees_IHP1,PerformanceFees_IHP2,PerformanceFees_RHP,Transaction_IHP1,Transaction_IHP2,Transaction_RHP,TotalCostsIHP1,TotalCostsIHP2,TotalCostsRHP,IHP1Date,IHP1Offset,IHP2Date,IHP2Offset,RHPDate,RHPOffset,RiskEngineOuput_PSFavourable_ScenarioIHP1,RiskEngineOuput_PSFavourable_ScenarioIHP2,RiskEngineOuput_PSFavourable_ScenarioRHP,RiskEngineOuput_PSModerate_ScenarioIHP1,RiskEngineOuput_PSModerate_ScenarioIHP2,RiskEngineOuput_PSModerate_ScenarioRHP,RiskEngineOuput_PSUnfavourable_ScenarioIHP1,RiskEngineOuput_PSUnfavourable_ScenarioIHP2,RiskEngineOuput_PSUnfavourable_ScenarioRHP,RiskEngineOuput_PSStressed_ScenarioIHP1,RiskEngineOuput_PSStressed_ScenarioIHP2,RiskEngineOuput_PSStressed_ScenarioRHP,NetPerformanceAmount_Favourable_ScenarioIHP1,NetPerformanceAmount_Favourable_ScenarioIHP2,NetPerformanceAmount_Favourable_ScenarioRHP,NetPerformanceAmount_Moderate_ScenarioIHP1,NetPerformanceAmount_Moderate_ScenarioIHP2,NetPerformanceAmount_Moderate_ScenarioRHP,NetPerformanceAmount_Unfavourable_ScenarioIHP1,NetPerformanceAmount_Unfavourable_ScenarioIHP2,NetPerformanceAmount_Unfavourable_ScenarioRHP,NetPerformanceAmount_Stressed_ScenarioIHP1,NetPerformanceAmount_Stressed_ScenarioIHP2,NetPerformanceAmount_Stressed_ScenarioRHP,NetPerformanceReturn_Favourable_ScenarioIHP1,NetPerformanceReturn_Favourable_ScenarioIHP2,NetPerformanceReturn_Favourable_ScenarioRHP,NetPerformanceReturn_Moderate_ScenarioIHP1,NetPerformanceReturn_Moderate_ScenarioIHP2,NetPerformanceReturn_Moderate_ScenarioRHP,NetPerformanceReturn_Unfavourable_ScenarioIHP1,NetPerformanceReturn_Unfavourable_ScenarioIHP2,NetPerformanceReturn_Unfavourable_ScenarioRHP,NetPerformanceReturn_Stressed_ScenarioIHP1,NetPerformanceReturn_Stressed_ScenarioIHP2,NetPerformanceReturn_Stressed_ScenarioRHP,RIYCarriedInterest,RIYEntryCostAcquired,RIYEntry,RIYExitCostAt1Year,RIYExitCostAtHalfRHP,RIYExitCostAtRHP,RIYExit,RIYOther,RIYPerformanceFees,RIYTransaction,RIYIHP1,RIYIHP2,RIYRHP,CF_Moment_M0,CF_Moment_M1,CF_Moment_M2,CF_Moment_M3,CF_Moment_M4,CF_Stats_Skew ,CF_Stats_Volatility,CF_Stats_Kurtosis,Stressed_Volatility_IHP1,Stressed_Volatility_IHP2,Stressed_Volatility_RHP,Stressed_Z_Alpha_IHP1,Stressed_Z_Alpha_IHP2,Stressed_Z_Alpha_RHP
FX-Forward-Deliverable-EUR-USD-Long-0,7,1,0,0,0,7,10000.0,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,554.4381779500286,,,-514.1614035098846,,,-1722.789242090738,,,-5397.390388526404,,,449.9387900495349,,,-608.0805975345393,,,-1804.7418238522168,,,-5442.9607807192115,,,0.04499387900495333,,,-0.060808059753453936,,,-0.18047418238522162,,,-0.5442960780719213,,,0.009295927764282341,,,,,,,,,,0.009295927764282341,,,,,,,,,,,,,,
FX-Forward-Deliverable-EUR-USD-Short-1,7,1,0,0,0,7,10000.0,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,1722.7892420907383,,,514.1614035098846,,,-554.4381779500286,,,-3009.2270128571986,,,1606.7220218720195,,,410.0607955543419,,,-647.9585920297304,,,-3078.442586987325,,,0.1606722021872018,,,0.041006079555434116,,,-0.06479585920297315,,,-0.30784425869873255,,,0.010292173723158271,,,,,,,,,,0.010292173723158271,,,,,,,,,,,,,,
FX-Forward-Deliverable-USD-INR-Long-2,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,748.5448267964044,,,-123.79765458411663,,,-1055.6127141917616,,,-9769.483269971553,,,642.1235908875296,,,-221.5818362218979,,,-1144.1710041502593,,,-9771.765613833222,,,0.06421235908875289,,,-0.022158183622189798,,,-0.11441710041502595,,,-0.9771765613833222,,,0.009674246130287112,,,,,,,,,,0.009674246130287112,,,,,,,,,,,,,,
FX-Forward-Deliverable-USD-INR-Short-3,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,1055.6127141917625,,,123.79765458411663,,,-748.5448267964039,,,-4238.05860016252,,,946.1512021700619,,,23.56203424170053,,,-840.1433928677252,,,-4295.1075249133855,,,0.09461512021700624,,,0.002356203424169978,,,-0.0840143392867726,,,-0.42951075249133863,,,0.00991411701685374,,,,,,,,,,0.00991411701685374,,,,,,,,,,,,,,
FX-Forward-Deliverable-XAU-USD-Long-4,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,1356.0366652614955,,,-619.0058590504614,,,-2297.8918745362935,,,-6142.237727465679,,,1243.600658674748,,,-711.8869891588729,,,-2374.1503708280125,,,-6180.433393530375,,,0.12436006586747483,,,-0.0711886989158872,,,-0.23741503708280132,,,-0.6180433393530376,,,0.00919429000306693,,,,,,,,,,0.00919429000306693,,,,,,,,,,,,,,
FX-Forward-Deliverable-XAU-USD-Short-5,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,2297.891874536294,,,619.0058590504614,,,-1356.0366652614953,,,-11589.736577142647,,,2176.130568847815,,,513.8671871786755,,,-1441.6204606549454,,,-11573.996611032324,,,0.2176130568847814,,,0.051386718717867375,,,-0.14416204606549454,,,-1.1573996611032322,,,0.010393686577842454,,,,,,,,,,0.010393686577842454,,,,,,,,,,,,,,
FX-Swap-EUR-USD-Long-6,7,1,0,0,0,7,10000.0,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,554.4381779500286,,,-514.1614035098846,,,-1722.789242090738,,,-5397.390388526404,,,449.9387900495349,,,-608.0805975345393,,,-1804.7418238522168,,,-5442.9607807192115,,,0.04499387900495333,,,-0.060808059753453936,,,-0.18047418238522162,,,-0.5442960780719213,,,0.009295927764282341,,,,,,,,,,0.009295927764282341,,,,,,,,,,,,,,
FX-Swap-EUR-USD-Short-7,7,1,0,0,0,7,10000.0,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,1722.7892420907383,,,514.1614035098846,,,-554.4381779500286,,,-3009.2270128571986,,,1606.7220218720195,,,410.0607955543419,,,-647.9585920297304,,,-3078.442586987325,,,0.1606722021872018,,,0.041006079555434116,,,-0.06479585920297315,,,-0.30784425869873255,,,0.010292173723158271,,,,,,,,,,0.010292173723158271,,,,,,,,,,,,,,
FX-Swap-XAU-USD-Long-8,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,1356.0366652614955,,,-619.0058590504614,,,-2297.8918745362935,,,-6142.237727465679,,,1243.600658674748,,,-711.8869891588729,,,-2374.1503708280125,,,-6180.433393530375,,,0.12436006586747483,,,-0.0711886989158872,,,-0.23741503708280132,,,-0.6180433393530376,,,0.00919429000306693,,,,,,,,,,0.00919429000306693,,,,,,,,,,,,,,
FX-Swap-XAU-USD-Short-9,7,1,0,0,0,7,10000.0,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.010958904109589,,,2297.891874536294,,,619.0058590504614,,,-1356.0366652614953,,,-11589.736577142647,,,2176.130568847815,,,513.8671871786755,,,-1441.6204606549454,,,-11573.996611032324,,,0.2176130568847814,,,0.051386718717867375,,,-0.14416204606549454,,,-1.1573996611032322,,,0.010393686577842454,,,,,,,,,,0.010393686577842454,,,,,,,,,,,,,,
